Период,Административна структура,Услуга №,Услуга,Общ брой,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Други,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Лиценз,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Регистрация,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Разрешение,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Удостоверение,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Уведомление,Брой издадени актове по ЗОАРАКСД и предоставени услуги за отчетния период - Съгласуване,Брой е-услуги,Такса/цена за предоставяне на услугата - Безплатна - Да/Не,Такса/цена за предоставяне на услугата - Безплатна - Брой,Такса/цена за предоставяне на услугата - С изчисляема такса/цена - Да/Не,Такса/цена за предоставяне на услугата - С изчисляема такса/цена - Брой,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Обикновена - Такса/Цена в лв.,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Обикновена - Брой,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Бърза - Такса/Цена в лв.,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Бърза - Брой,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Експресна - Такса/Цена в лв.,Такса/цена за предоставяне на услугата - Такса/Цена в лева - Експресна - Брой
2020,Областна администрация - Шумен,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,0.0,Да,0.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2020,Областна администрация - Шумен,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,3,,,,3.0,,,,0.0,Да,3.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2020,Областна администрация - Шумен,2529,Позволително за ползване на лечебните растения,0,,,,0.0,,,,0.0,Да,0.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2020,Областна администрация - Шумен,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",2768,2768.0,,,,,,,0.0,Не,,Не,,5.0,2768.0,0.0,0.0,0.0,0.0
2020,Областна администрация - Ямбол,2,Предоставяне на достъп до обществена информация,3,3.0,,,,,,,0.0,Да,3.0,Да,0.0,,,,,,
2020,Областна администрация - Ямбол,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",2,2.0,,,,,,,,Да,2.0,Не,,,,,,,
2020,Областна администрация - Ямбол,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,0,0.0,,,,,,,,Не,,Да,0.0,,,,,,
2020,Областна администрация - Ямбол,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,0,0.0,,,,,,,,Да,0.0,Не,,,,,,,
2020,Областна администрация - Ямбол,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,0.0,,,,,,,,Да,0.0,Не,,,,,,,
2020,Областна администрация - Ямбол,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,0,0.0,,,,,,,,Не,,Да,0.0,,,,,,
2020,Областна администрация - Ямбол,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,1,1.0,,,,,,,,Не,,Да,1.0,,,,,,
2020,Областна администрация - Ямбол,1969,Регистриране на технически паспорт на строеж,1,1.0,,,,,,,,Да,1.0,Не,,,,,,,
2020,Областна администрация - Ямбол,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,596,596.0,,,,,,,2.0,Не,,Не,,10.0,389.0,15.0,207.0,,
2020,Областна администрация - Ямбол,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,4,4.0,,,,,,,,Не,,Да,4.0,,,,,,
2020,Областна администрация - Ямбол,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,0,0.0,,,,,,,,Не,,Да,0.0,,,,,,
2020,Областна администрация - Ямбол,1976,Презаверяване на разрешение за строеж,0,,,,0.0,,,,,Не,,Да,0.0,,,,,,
2020,Областна администрация - Ямбол,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",9,9.0,,,,,,,,Да,9.0,Не,,,,,,,
2020,Областна администрация - Ямбол,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,45,45.0,,,,,,,,Да,30.0,Не,,15.0,2.0,22.5,13.0,,
2020,Областна администрация - Ямбол,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",0,0.0,,,,,,,,Не,,Да,0.0,,,,,,
2020,Областна администрация - Ямбол,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,3,3.0,,,,,,,,Не,,Да,3.0,,,,,,
2020,Областна администрация - Ямбол,1983,Съставяне на акт за поправка на акт за държавна собственост,0,0.0,,,,,,,,Да,0.0,Не,,,,,,,
2020,Областна администрация - Ямбол,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,0.0,,,,,,,,Не,,Да,0.0,,,,,,
2020,Областна администрация - Ямбол,2133,Издаване на удостоверение за осигурителен стаж (УП 3),0,0.0,,,,,,,,Да,0.0,Не,,,,,,,
2020,Областна администрация - Ямбол,2134,Издаване на удостоверение за осигурителен доход (УП 2),6,6.0,,,,,,,,Да,6.0,Не,,,,,,,
2020,Областна администрация - Ямбол,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,,Да,0.0,Не,,,,,,,
2020,Областна администрация - Ямбол,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,0,,,,0.0,,,,,Не,,Да,0.0,,,,,,
2020,Областна администрация - Ямбол,2529,Позволително за ползване на лечебните растения,0,,,,0.0,,,,,Не,,Да,0.0,,,,,,
2020,Областна администрация - Ямбол,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",433,433.0,,,,,,,,Не,,Не,,5.0,433.0,,,,
2021,Областна администрация - Благоевград,2,Предоставяне на достъп до обществена информация,13,13.0,,,,,,,7.0,Да,13.0,Не,,,,,,,
2021,Областна администрация - Благоевград,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",0,0.0,,,,,,,,Да,,Не,,,,,,,
2021,Областна администрация - Благоевград,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,0,0.0,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Благоевград,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,72,72.0,,,,,,,,Да,72.0,Не,,,,,,,
2021,Областна администрация - Благоевград,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,0.0,,,,,,,,Да,,Не,,,,,,,
2021,Областна администрация - Благоевград,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,2,2.0,,,,,,,,Не,,Да,2.0,,,,,,
2021,Областна администрация - Благоевград,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,0.0,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Благоевград,1969,Регистриране на технически паспорт на строеж,1,1.0,,,,,,,,Да,1.0,Не,,,,,,,
2021,Областна администрация - Благоевград,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,2100,2100.0,,,,,,,5.0,Не,,Не,,10.0,1006.0,15.0,1094.0,,
2021,Областна администрация - Благоевград,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,2,2.0,,,,,,,,Не,,Да,2.0,,,,,,
2021,Областна администрация - Благоевград,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,0,0.0,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Благоевград,1976,Презаверяване на разрешение за строеж,0,,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Благоевград,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",40,40.0,,,,,,,0.0,Да,40.0,Не,,,,,,,
2021,Областна администрация - Благоевград,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,15,15.0,,,,,,,,Не,,Не,,15.0,10.0,22.5,5.0,5.0,
2021,Областна администрация - Благоевград,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",1,1.0,,,,,,,,Не,,Да,1.0,,,,,,
2021,Областна администрация - Благоевград,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,2,2.0,,,,,,,,Не,,Да,2.0,,,,,,
2021,Областна администрация - Благоевград,1983,Съставяне на акт за поправка на акт за държавна собственост,0,,,,,,,,,Да,,Не,,,,,,,
2021,Областна администрация - Благоевград,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,0.0,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Благоевград,2133,Издаване на удостоверение за осигурителен стаж (УП 3),2,2.0,,,,,,,,Да,2.0,Не,,,,,,,
2021,Областна администрация - Благоевград,2134,Издаване на удостоверение за осигурителен доход (УП 2),4,4.0,,,,,,,,Да,4.0,Не,,,,,,,
2021,Областна администрация - Благоевград,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,,Да,0.0,Не,,,,,,,
2021,Областна администрация - Благоевград,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,3,,,,3.0,,,,,Не,,Да,3.0,,,,,,
2021,Областна администрация - Благоевград,2529,Позволително за ползване на лечебните растения,0,,,,0.0,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Благоевград,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",809,809.0,,,,,,,0.0,Не,,Не,,5.0,809.0,,,,
2021,Областна администрация - Бургас,2,Предоставяне на достъп до обществена информация,20,20.0,,,,,,,0.0,Да,20.0,Не,,,,,,,
2021,Областна администрация - Бургас,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",1,1.0,,,,,,,0.0,Да,1.0,Не,,,,,,,
2021,Областна администрация - Бургас,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,1,1.0,,,,,,,0.0,Не,,Да,1.0,,,,,,
2021,Областна администрация - Бургас,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,15,15.0,,,,,,,0.0,Да,15.0,Не,,,,,,,
2021,Областна администрация - Бургас,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2021,Областна администрация - Бургас,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,1,1.0,,,,,,,0.0,Не,,Да,1.0,,,,,,
2021,Областна администрация - Бургас,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Бургас,1969,Регистриране на технически паспорт на строеж,3,3.0,,,,,,,0.0,Да,3.0,Не,,,,,,,
2021,Областна администрация - Бургас,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,855,855.0,,,,,,,0.0,Не,,Не,,10.0,803.0,15.0,52.0,,
2021,Областна администрация - Бургас,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,4,4.0,,,,,,,0.0,Не,,Да,4.0,,,,,,
2021,Областна администрация - Бургас,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Бургас,1976,Презаверяване на разрешение за строеж,1,,,,1.0,,,,0.0,Не,,Да,1.0,,,,,,
2021,Областна администрация - Бургас,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",52,52.0,,,,,,,0.0,Да,52.0,Не,,,,,,,
2021,Областна администрация - Бургас,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,55,55.0,,,,,,,0.0,Не,,Не,,15.0,50.0,22.5,5.0,,
2021,Областна администрация - Бургас,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Бургас,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,3,3.0,,,,,,,0.0,Не,,Да,3.0,,,,,,
2021,Областна администрация - Бургас,1983,Съставяне на акт за поправка на акт за държавна собственост,7,7.0,,,,,,,0.0,Да,7.0,Не,,,,,,,
2021,Областна администрация - Бургас,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Бургас,2133,Издаване на удостоверение за осигурителен стаж (УП 3),1,1.0,,,,,,,0.0,Да,1.0,Не,,,,,,,
2021,Областна администрация - Бургас,2134,Издаване на удостоверение за осигурителен доход (УП 2),2,2.0,,,,,,,0.0,Да,2.0,Не,,,,,,,
2021,Областна администрация - Бургас,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,0.0,Да,0.0,Не,,,,,,,
2021,Областна администрация - Бургас,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,1,,,,1.0,,,,0.0,Да,1.0,Не,,,,,,,
2021,Областна администрация - Бургас,2529,Позволително за ползване на лечебните растения,0,,,,0.0,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Бургас,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",1986,1986.0,,,,,,,0.0,Не,,Не,,5.0,1986.0,,,,
2021,Областна администрация - Варна,2,Предоставяне на достъп до обществена информация,32,32.0,,,,,,,7.0,Не,,Да,32.0,,,,,,
2021,Областна администрация - Варна,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",1,1.0,,,,,,,,Да,1.0,Не,,,,,,,
2021,Областна администрация - Варна,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,1,1.0,,,,,,,,Да,1.0,Не,,,,,,,
2021,Областна администрация - Варна,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,6,6.0,,,,,,,1.0,Да,6.0,Не,,,,,,,
2021,Областна администрация - Варна,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",1,1.0,,,,,,,,Да,1.0,Не,,,,,,,
2021,Областна администрация - Варна,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,0,,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Варна,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Варна,1969,Регистриране на технически паспорт на строеж,3,3.0,,,,,,,,Да,3.0,Не,,,,,,,
2021,Областна администрация - Варна,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,691,691.0,,,,,,,,Не,,Не,,10.0,653.0,15.0,38.0,0.0,0.0
2021,Областна администрация - Варна,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Варна,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,0,,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Варна,1976,Презаверяване на разрешение за строеж,8,,,,8.0,,,,,Не,,Да,8.0,,,,,,
2021,Областна администрация - Варна,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",20,20.0,,,,,,,,Не,,Да,20.0,,,,,,
2021,Областна администрация - Варна,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,39,39.0,,,,,,,,Не,,Не,,15.0,30.0,22.5,9.0,,
2021,Областна администрация - Варна,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",1,1.0,,,,,,,,Не,,Да,1.0,,,,,,
2021,Областна администрация - Варна,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,8,8.0,,,,,,,,Не,,Да,8.0,,,,,,
2021,Областна администрация - Варна,1983,Съставяне на акт за поправка на акт за държавна собственост,120,120.0,,,,,,,,Да,120.0,Не,,,,,,,
2021,Областна администрация - Варна,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Варна,2133,Издаване на удостоверение за осигурителен стаж (УП 3),10,10.0,,,,,,,,Да,10.0,Не,,,,,,,
2021,Областна администрация - Варна,2134,Издаване на удостоверение за осигурителен доход (УП 2),12,12.0,,,,,,,,Да,12.0,Не,,,,,,,
2021,Областна администрация - Варна,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,,,,,,Да,,Не,,,,,,,
2021,Областна администрация - Варна,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,3,,,,3.0,,,,,Да,3.0,Не,,,,,,,
2021,Областна администрация - Варна,2529,Позволително за ползване на лечебните растения,0,,,,,,,,,Не,,Да,,,,,,,
2021,Областна администрация - Варна,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",1783,1783.0,,,,,,,,Не,,Не,,5.0,1783.0,,,,
2021,Областна администрация - Велико Търново,2,Предоставяне на достъп до обществена информация,9,9.0,,,,,,,9.0,Да,9.0,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,12,12.0,,,,,,,0.0,Да,12.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,0,0.0,,,,,,,0.0,Не,,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1969,Регистриране на технически паспорт на строеж,0,0.0,,,,,,,0.0,Да,0.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,814,814.0,,,,,,,0.0,Не,,Не,,10.0,288.0,15.0,526.0,0.0,0.0
2021,Областна администрация - Велико Търново,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,0.0,,,,,,,0.0,Не,,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,0,0.0,,,,,,,0.0,Не,,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1976,Презаверяване на разрешение за строеж,0,,,,0.0,,,,0.0,Не,,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",123,123.0,,,,,,,0.0,Да,123.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,20,20.0,,,,,,,0.0,Не,,Не,,15.0,19.0,22.5,1.0,0.0,0.0
2021,Областна администрация - Велико Търново,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",0,0.0,,,,,,,0.0,Не,,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,0.0,,,,,,,0.0,Не,,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1983,Съставяне на акт за поправка на акт за държавна собственост,0,0.0,,,,,,,0.0,Да,0.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,2133,Издаване на удостоверение за осигурителен стаж (УП 3),3,3.0,,,,,,,0.0,Да,3.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,2134,Издаване на удостоверение за осигурителен доход (УП 2),6,6.0,,,,,,,0.0,Да,6.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,0.0,Да,0.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,0,,,,0.0,,,,0.0,Да,0.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,2529,Позволително за ползване на лечебните растения,0,,,,0.0,,,,0.0,Не,,Да,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Велико Търново,2972,"Издаване на удостоверение APOSTILLE на документи, които са издадени от кметовете и общинските администрации",423,423.0,,,,,,,0.0,Не,,Не,,5.0,423.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Видин,2,Предоставяне на достъп до обществена информация,7,7.0,,,,,,,7.0,Да,7.0,Не,,0.0,0.0,0.0,0.0,0.0,0.0
2021,Областна администрация - Видин,1961,"Разрешаване изработването на устройствени планове, които обхващат територии, попадащи в повече от една община или предвиждат изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2021,Областна администрация - Видин,1962,Издаване на удостоверение за въвеждане в експлоатация на строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Видин,1963,Справки по регистри и книги за имоти - частна и публична държавна собственост,201,201.0,,,,,,,48.0,Да,201.0,Не,,,,,,,
2021,Областна администрация - Видин,1966,"Издаване на заповед за разрешаване или отказ за изработването на проект за изменение на подробен устройствен план, който обхваща територии, попадащи в повече от една община или предвижда изграждане на обекти с регионално значение",0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2021,Областна администрация - Видин,1967,Съгласуване на идейни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение.,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Видин,1968,Одобряване на инвестиционен проект - заснемане на извършен строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Видин,1969,Регистриране на технически паспорт на строеж,1,1.0,,,,,,,0.0,Да,1.0,Не,,,,,,,
2021,Областна администрация - Видин,1972,Издаване на удостоверение за наличие или липса на акт за държавна собственост на имот или за отписване на имота от актовите книги,33,33.0,,,,,,,0.0,Не,,Не,,10.0,10.0,15.0,23.0,0.0,0.0
2021,Областна администрация - Видин,1974,Издаване на разрешение за строеж за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Видин,1975,Издаване на заповед за изменения в одобрен инвестиционен проект,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Видин,1976,Презаверяване на разрешение за строеж,0,,,,0.0,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Видин,1978,"Издаване на заверени копия от договори, заповеди и други документи от интерес на физическите и юридическите лица, от архив ""Държавна собственост""",12,12.0,,,,,,,1.0,Да,12.0,Не,,,,,,,
2021,Областна администрация - Видин,1979,Издаване на удостоверение за наличие или липса на претенции за възстановяване на собствеността,13,13.0,,,,,,,1.0,Не,,Не,,15.0,7.0,22.5,6.0,0.0,0.0
2021,Областна администрация - Видин,1980,"Приемане на екзекутивна документация, отразяваща несъществените промени в одобрения инвестиционен проект",0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Видин,1981,Одобряване на технически и работни инвестиционни проекти за обекти на техническата инфраструктура с обхват повече от една община или за обекти с регионално значение,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Видин,1983,Съставяне на акт за поправка на акт за държавна собственост,0,0.0,,,,,,,0.0,Да,0.0,Не,,,,,,,
2021,Областна администрация - Видин,1984,Одобряване на частите на комплексния проект за инвестиционна инициатива и издаване на разрешение за строеж,0,0.0,,,,,,,0.0,Не,,Да,0.0,,,,,,
2021,Областна администрация - Видин,2133,Издаване на удостоверение за осигурителен стаж (УП 3),7,7.0,,,,,,,0.0,Да,7.0,Не,,,,,,,
2021,Областна администрация - Видин,2134,Издаване на удостоверение за осигурителен доход (УП 2),1,1.0,,,,,,,0.0,Да,1.0,Не,,,,,,,
2021,Областна администрация - Видин,2389,Разрешаване изработване на комплексен проект за инвестиционна инициатива,0,,,,0.0,,,,0.0,Да,0.0,Не,,,,,,,
2021,Областна администрация - Видин,2469,Издаване на Заповед за учредяване на еднократно право на преминаване/прокарване на отклонения от общи мрежи и съоръжения на техническата инфраструктура през имот - държавна собственост.,1,,,,1.0,,,,0.0,Да,1.0,Не,,,,,,,
